Stock,RS_Rating,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Status
GOOGL,92,204.00249328613282,178.91608683268228,181.5183039855957,140.23,253.04,"❌ Failed Minervini conditions: 1, 2, 4"
GOOG,92,204.760556640625,180.27944274902345,182.92246688842772,142.36,253.23,"❌ Failed Minervini conditions: 1, 2, 4"
AMZN,76,227.13339965820313,210.37426686604817,214.30420021057128,161.38,242.52,"❌ Failed Minervini conditions: 1, 2, 4"
AXP,77,313.19900085449217,292.87670674641925,295.7407472229004,219.87,332.46,"❌ Failed Minervini conditions: 1, 2, 4"
APO,71,141.5243798828125,137.99055720011393,145.43983837127686,101.84,187.59,"❌ Failed Minervini conditions: 1, 2, 3, 4, 5, 7"
ANET,92,127.8277995300293,101.49259938557942,104.2418494796753,59.43,156.32,"❌ Failed Minervini conditions: 1, 2, 4"
ATO,72,160.69079467773437,154.7189727783203,150.88341346740722,131.97,167.99,❌ Failed Minervini conditions: 6
ADSK,70,300.569599609375,287.7803995768229,290.82289962768556,232.67,329.09,"❌ Failed Minervini conditions: 1, 2, 4"
AXON,97,760.3425952148438,682.8165321858723,668.9461497497558,376.53,885.92,❌ Failed Minervini conditions: 5
BKR,86,43.49339080810547,40.91626698811849,41.39766702651978,33.15,48.6,"❌ Failed Minervini conditions: 1, 2, 4"
BAC,80,47.951032638549805,44.148557840983074,44.3857971572876,32.69,51.09,"❌ Failed Minervini conditions: 1, 2, 4"
BLK,74,1111.8251147460937,1000.7335070800781,1002.6284808349609,766.05,1166.38,"❌ Failed Minervini conditions: 1, 2, 4"
BX,71,170.49794036865234,151.19659795125327,157.22684566497801,114.16,196.67,"❌ Failed Minervini conditions: 1, 2, 3, 4"
BA,86,228.33079986572267,198.85139994303384,191.8854997253418,128.88,242.69,❌ Failed Minervini conditions: 5
BKNG,85,5578.310078125,5200.215846354166,5133.25953125,3956.62,5829.37,❌ Failed Minervini conditions: 5
CHRW,82,115.06881622314454,101.5785557047526,101.87966480255128,83.72,134.91,"❌ Failed Minervini conditions: 1, 2, 4"
CDNS,79,343.34120178222656,301.87473368326823,302.60335006713865,221.56,376.45,"❌ Failed Minervini conditions: 1, 2, 4"
CAH,83,154.15760040283203,146.0100089009603,139.9004656982422,104.89,168.44,❌ Failed Minervini conditions: 5
CCL,95,30.211600074768068,24.739000078837076,25.00170006752014,15.07,32.8,"❌ Failed Minervini conditions: 1, 2, 4"
CAT,77,421.0940057373047,364.831865234375,367.24034652709963,265.05,441.15,"❌ Failed Minervini conditions: 1, 2, 4"
COR,78,292.71287536621094,282.08469757080076,271.25412071228027,216.84,308.18,❌ Failed Minervini conditions: 5
SCHW,89,95.18051223754883,86.28764216105144,84.18934349060059,61.62,99.42,❌ Failed Minervini conditions: 5
CSCO,83,68.16259963989258,63.77894668579101,62.53652465820313,48.93,72.55,❌ Failed Minervini conditions: 5
CFG,80,49.18523178100586,43.295974756876625,43.662422027587894,31.96,52.85,"❌ Failed Minervini conditions: 1, 2, 4"
CME,76,271.8418157958984,266.81679494222004,257.5939963531494,203.31,288.09,"❌ Failed Minervini conditions: 1, 5, 6"
COIN,98,340.5414025878906,268.0138673909505,272.8038505554199,142.58,444.65,"❌ Failed Minervini conditions: 1, 2, 4, 5, 7"
CTVA,73,72.67834411621094,67.62384854634603,65.74028160095214,53.14,77.22,❌ Failed Minervini conditions: 5
CRWD,95,445.19299865722655,427.5709657796224,413.12304931640625,263.45,517.98,❌ Failed Minervini conditions: 5
CMI,88,378.9950518798828,339.39556986490885,343.94170959472655,257.24,416.92,"❌ Failed Minervini conditions: 1, 2, 4"
DAL,75,57.34662628173828,51.52976186116536,54.54855756759643,34.52,69.36,"❌ Failed Minervini conditions: 1, 2, 3, 4"
DG,74,110.38179992675781,98.24701736450196,92.02554698944091,65.67,117.95,❌ Failed Minervini conditions: 5
DLTR,77,109.68580047607422,90.8894667561849,86.34930004119873,60.49,118.06,❌ Failed Minervini conditions: 5
EMR,78,136.9637060546875,122.69960240681966,123.40264480590821,89.31,149.68,"❌ Failed Minervini conditions: 1, 2, 4, 5"
EQT,90,52.70146003723144,52.7704275004069,51.44845233917236,32.46,60.83,"❌ Failed Minervini conditions: 1, 4, 5"
EVRG,70,70.5752491760254,67.60458875020345,65.91598552703857,56.68,73.29,❌ Failed Minervini conditions: 6
EXE,83,98.37587493896484,104.07356358846029,102.57877815246582,70.46,121.47,"❌ Failed Minervini conditions: 1, 4, 5"
EXPE,94,198.70354309082032,179.20267812093098,179.7820482635498,129.46,229.0,"❌ Failed Minervini conditions: 1, 2, 4"
FAST,86,47.40970947265625,42.102663345336914,40.89069204330444,33.77,50.63,❌ Failed Minervini conditions: 5
FOX,87,52.219482345581056,50.31936408996582,49.228724517822265,36.39,57.02,❌ Failed Minervini conditions: 5
BEN,78,24.905,21.76350435892741,21.33274386405945,16.03,26.08,❌ Failed Minervini conditions: 5
GNRC,79,177.62400085449218,144.30973353068035,148.66015003204345,99.5,203.25,"❌ Failed Minervini conditions: 1, 2, 4"
GM,71,55.10082534790039,50.091712366739905,50.42514196395874,41.36,60.6,"❌ Failed Minervini conditions: 1, 2, 4"
GILD,84,113.25533142089844,108.70712381998698,104.28379333496093,79.46,120.99,❌ Failed Minervini conditions: 5
HPE,85,21.697999954223633,18.727699584960938,19.451708641052246,11.88,25.1,"❌ Failed Minervini conditions: 1, 2, 4"
HBAN,74,16.995599842071535,15.780733064015706,15.972744975090027,11.8,18.03,"❌ Failed Minervini conditions: 1, 2, 4"
INCY,79,78.84679977416992,69.59293319702148,70.18839992523193,53.56,87.99,"❌ Failed Minervini conditions: 1, 2, 4"
IBKR,97,62.76211372375488,52.94155578613281,51.69571466445923,31.71,67.98,❌ Failed Minervini conditions: 5
IVZ,86,20.63082847595215,16.79484510421753,16.909010620117186,11.33,22.78,"❌ Failed Minervini conditions: 1, 2, 4"
JBL,98,216.65978942871095,178.79878662109374,171.50475845336913,105.84,232.75,❌ Failed Minervini conditions: 5
J,73,143.4481036376953,130.07391194661457,131.09560050964356,104.68,152.07,"❌ Failed Minervini conditions: 1, 2, 4"
KMI,81,27.106691513061524,26.98351816813151,26.991922521591185,20.53,30.49,"❌ Failed Minervini conditions: 1, 2, 4"
KR,75,70.08454864501954,68.20791748046875,66.17370204925537,53.47,74.52,"❌ Failed Minervini conditions: 1, 5, 6"
LVS,80,52.67588310241699,44.47221036275228,45.40196434020996,29.84,58.05,"❌ Failed Minervini conditions: 1, 2, 4, 5"
L,71,93.91739898681641,89.46393524169922,88.2571301651001,74.95,98.33,❌ Failed Minervini conditions: 6
MCK,84,696.80353515625,686.8444950358073,662.5067886352539,462.37,737.01,❌ Failed Minervini conditions: 5
MOS,83,33.99898155212402,31.22322415669759,29.833235788345338,21.99,37.97,❌ Failed Minervini conditions: 5
NDAQ,79,93.35813598632812,83.82412221272786,82.6468656539917,64.46,97.36,❌ Failed Minervini conditions: 5
NFLX,95,1216.2475952148438,1126.536798095703,1074.7785977172853,677.88,1341.15,❌ Failed Minervini conditions: 5
NCLH,79,24.348199920654295,21.06759994506836,22.48589994430542,14.21,29.29,"❌ Failed Minervini conditions: 1, 2, 3, 4"
PANW,72,188.24200073242187,187.1312001546224,187.3657250213623,144.15,210.39,"❌ Failed Minervini conditions: 1, 2, 4"
PAYC,76,226.268681640625,227.8977012125651,224.29282432556153,157.01,267.33,"❌ Failed Minervini conditions: 1, 4, 5"
PM,87,168.41180114746095,165.54790456136067,155.210873336792,114.24,185.29,"❌ Failed Minervini conditions: 1, 5"
PWR,86,387.7055981445312,332.1097612508138,330.4279857635498,227.02,424.94,❌ Failed Minervini conditions: 5
RJF,88,164.74739990234374,151.4350016784668,153.91907138824462,117.19,173.13,"❌ Failed Minervini conditions: 1, 2, 4"
RF,72,25.738731231689453,22.81638605753581,23.076723861694337,17.36,27.61,"❌ Failed Minervini conditions: 1, 2, 4"
ROK,82,344.98737731933596,303.34067728678383,298.262283782959,213.27,359.54,❌ Failed Minervini conditions: 5
RCL,97,336.2461999511719,270.6599589029948,263.4771169281006,163.55,366.5,❌ Failed Minervini conditions: 5
SNA,72,324.29248779296876,321.5929081217448,326.871163482666,272.7,366.68,"❌ Failed Minervini conditions: 1, 2, 3, 4, 6"
STT,81,111.30960006713867,98.76671763102213,98.24208103179932,72.29,116.37,❌ Failed Minervini conditions: 5
STLD,74,129.72579986572265,128.35900563557942,127.44570556640625,102.78,153.72,❌ Failed Minervini conditions: 3
SYF,92,72.1432127380371,61.739585673014325,62.88819677352905,40.15,77.41,"❌ Failed Minervini conditions: 1, 2, 4"
TMUS,73,242.35569061279296,246.5447224934896,241.37330055236816,192.73,274.51,"❌ Failed Minervini conditions: 1, 4, 5, 6"
TSLA,96,332.97059936523436,308.0531332397461,331.5027498626709,212.11,488.54,"❌ Failed Minervini conditions: 1, 2, 4"
TRMB,87,81.9279995727539,73.09553326924642,73.17949991226196,52.91,87.5,"❌ Failed Minervini conditions: 1, 2, 4, 5"
UAL,97,96.23020050048828,84.19113357543945,88.54340019226075,51.44,116.0,"❌ Failed Minervini conditions: 1, 2, 4"
