Stock,Price,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High,Returns_Multiple,RS_Rating,Status
PLTR,176.97,162.23,127.53,115.56,35.71,190.0,4.09,100,✅ Passed Minervini
TPR,113.3,104.77,86.13,81.58,41.31,113.62,2.29,100,✅ Passed Minervini
VST,210.16,197.95,163.05,161.75,89.63,217.9,1.94,99,✅ Passed Minervini
WBD,18.7,12.97,10.92,10.8,7.25,19.6,1.9,99,✅ Passed Minervini
STX,216.64,164.75,123.0,115.7,62.86,219.53,1.82,99,✅ Passed Minervini
WDC,105.15,78.95,58.3,56.07,28.74,106.11,1.8,99,✅ Passed Minervini
AVGO,345.35,306.2,244.45,237.59,137.78,374.23,1.77,99,✅ Passed Minervini
NRG,164.19,154.14,132.99,124.28,79.04,175.96,1.74,98,✅ Passed Minervini
JBL,223.29,216.54,179.47,172.36,108.57,232.75,1.72,98,✅ Passed Minervini
HWM,191.84,181.02,158.88,148.81,95.19,193.13,1.68,97,✅ Passed Minervini
IBKR,64.92,63.02,53.04,51.86,32.36,67.98,1.68,98,✅ Passed Minervini
AXON,766.47,758.79,684.04,670.2,383.03,885.92,1.67,97,✅ Passed Minervini
DASH,268.07,249.59,216.98,207.35,136.05,278.15,1.66,97,✅ Passed Minervini
MU,168.89,123.13,104.85,102.73,61.48,170.45,1.62,97,✅ Passed Minervini
APH,122.07,108.81,87.87,83.69,56.27,122.79,1.6,96,✅ Passed Minervini
GLW,79.62,64.35,52.95,51.9,36.95,79.65,1.56,96,✅ Passed Minervini
CRWD,502.63,443.73,428.12,414.3,272.67,517.98,1.54,96,✅ Passed Minervini
ORCL,296.62,250.22,192.81,187.17,118.18,345.72,1.52,96,✅ Passed Minervini
PSKY,17.88,14.06,12.45,12.0,9.92,19.05,1.48,96,✅ Passed Minervini
RL,313.98,297.96,264.67,258.26,176.02,321.77,1.47,95,✅ Passed Minervini
C,102.41,94.42,80.19,78.52,54.71,102.7,1.43,95,✅ Passed Minervini
TKO,202.8,180.26,165.49,160.78,113.01,212.49,1.4,94,✅ Passed Minervini
GS,804.31,732.56,633.41,623.73,434.87,807.28,1.39,94,✅ Passed Minervini
MS,159.24,146.05,130.74,130.19,92.93,160.14,1.39,94,✅ Passed Minervini
TTWO,249.74,233.72,225.41,215.95,146.76,252.61,1.38,94,✅ Passed Minervini
